AutoDock-GPU version: v1.6-release

Running 1 docking calculation

Cuda device:                              NVIDIA A100-PCIE-40GB (#1 / 2)
Available memory on device:               40007 MB (total: 40444 MB)

CUDA Setup time 0.281829s
(Thread 113 is setting up Job #1)

Running Job #1
    Using heuristics: (capped) number of evaluations set to 9078841
    Warning: The set number of evals is 24.34% of the uncapped heuristics estimate of 37295500 evals.
             This means this docking may not be able to converge. Increasing --heurmax may improve
             convergence but will also increase runtime.
             AutoStop will not stop before 37.03% (3361598) of the set number of evaluations.
    Local-search chosen method is: ADADELTA (ad)

Rest of Setup time 0.006663s

Executing docking runs, stopping automatically after either reaching 0.15 kcal/mol standard deviation of
the best molecules of the last 4 * 5 generations, 42000 generations, or 9078841 evaluations:

Generations |  Evaluations |     Threshold    |  Average energy of best 10%  | Samples | Best Inter + Intra
------------+--------------+------------------+------------------------------+---------+-------------------
          0 |          150 |113682.30 kcal/mol |83622.60 +/-37354.25 kcal/mol |       4 |18927.39 kcal/mol
          5 |        52962 |223701.06 kcal/mol | 4116.08 +/-18230.74 kcal/mol |      80 |   12.37 kcal/mol
         10 |        99630 | 7534.34 kcal/mol |   49.77 +/-   44.52 kcal/mol |      40 |    9.33 kcal/mol
         15 |       145681 |   66.47 kcal/mol |    9.89 +/-    0.49 kcal/mol |       4 |    9.31 kcal/mol
         20 |       184197 |   11.72 kcal/mol |    9.52 +/-    1.04 kcal/mol |       3 |    8.55 kcal/mol
         25 |       215996 |   14.74 kcal/mol |   10.63 +/-    1.81 kcal/mol |       3 |    8.55 kcal/mol
         30 |       252044 |   19.68 kcal/mol |   11.87 +/-    1.92 kcal/mol |      13 |    8.55 kcal/mol
         35 |       290213 |   14.08 kcal/mol |    8.73 +/-    0.61 kcal/mol |       5 |    8.34 kcal/mol
         40 |       326796 |   10.55 kcal/mol |    8.41 +/-    0.16 kcal/mol |       6 |    8.25 kcal/mol
         45 |       361531 |    8.81 kcal/mol |    8.25 +/-    0.00 kcal/mol |       1 |    8.25 kcal/mol
         50 |       394548 |   10.50 kcal/mol |    8.94 +/-    0.66 kcal/mol |       4 |    8.22 kcal/mol
         55 |       428327 |   11.41 kcal/mol |    9.96 +/-    1.12 kcal/mol |       4 |    8.22 kcal/mol
         60 |       457716 |   14.18 kcal/mol |    9.97 +/-    1.73 kcal/mol |       4 |    8.17 kcal/mol
         65 |       488247 |   16.46 kcal/mol |    8.97 +/-    1.09 kcal/mol |       6 |    8.17 kcal/mol
