AutoDock-GPU version: v1.6-release

Running 1 docking calculation

Cuda device:                              NVIDIA A100-PCIE-40GB (#1 / 2)
Available memory on device:               40007 MB (total: 40444 MB)

CUDA Setup time 0.278253s
(Thread 95 is setting up Job #1)

Running Job #1
    Using heuristics: (capped) number of evaluations set to 8108109
    Warning: The set number of evals is 32.43% of the uncapped heuristics estimate of 25000000 evals.
             This means this docking may not be able to converge. Increasing --heurmax may improve
             convergence but will also increase runtime.
             AutoStop will not stop before 23.96% (1942585) of the set number of evaluations.
    Local-search chosen method is: ADADELTA (ad)

Rest of Setup time 0.003970s

Executing docking runs, stopping automatically after either reaching 0.15 kcal/mol standard deviation of
the best molecules of the last 4 * 5 generations, 42000 generations, or 8108109 evaluations:

Generations |  Evaluations |     Threshold    |  Average energy of best 10%  | Samples | Best Inter + Intra
------------+--------------+------------------+------------------------------+---------+-------------------
          0 |          150 |449564.69 kcal/mol |258189.25 +/-31594.64 kcal/mol |      66 |25005.13 kcal/mol
          5 |        33113 |265369.84 kcal/mol |28657.42 +/-50898.26 kcal/mol |      84 |   65.52 kcal/mol
         10 |        64289 |37746.39 kcal/mol |  112.70 +/-   34.91 kcal/mol |       7 |   63.56 kcal/mol
         15 |        94230 |  187.51 kcal/mol |   80.05 +/-   10.72 kcal/mol |       4 |   63.56 kcal/mol
         20 |       123150 |  120.27 kcal/mol |   73.10 +/-   11.27 kcal/mol |       8 |   63.56 kcal/mol
         25 |       153826 |   94.23 kcal/mol |   65.21 +/-    3.47 kcal/mol |       2 |   61.74 kcal/mol
         30 |       183204 |   91.24 kcal/mol |   70.24 +/-   10.44 kcal/mol |       4 |   61.74 kcal/mol
         35 |       212401 |  109.39 kcal/mol |   62.57 +/-    1.18 kcal/mol |       3 |   61.74 kcal/mol
         40 |       242771 |   68.47 kcal/mol |   63.30 +/-    1.00 kcal/mol |       4 |   61.74 kcal/mol
         45 |       272995 |   67.03 kcal/mol |   60.46 +/-    0.00 kcal/mol |       1 |   60.46 kcal/mol
         50 |       304137 |   62.71 kcal/mol |   60.46 +/-    0.00 kcal/mol |       2 |   60.46 kcal/mol
         55 |       334784 |   61.59 kcal/mol |   60.46 +/-    0.00 kcal/mol |       1 |   60.46 kcal/mol
         60 |       367091 |   62.71 kcal/mol |   61.43 +/-    1.09 kcal/mol |       2 |   60.35 kcal/mol
         65 |       399762 |   69.57 kcal/mol |   64.22 +/-    1.87 kcal/mol |      15 |   60.35 kcal/mol
         70 |       432247 |   66.09 kcal/mol |   61.97 +/-    1.68 kcal/mol |       4 |   60.35 kcal/mol
         75 |       462645 |   68.26 kcal/mol |   62.22 +/-    1.61 kcal/mol |       9 |   59.91 kcal/mol
         80 |       495784 |   64.90 kcal/mol |   62.22 +/-    1.37 kcal/mol |       4 |   59.91 kcal/mol
         85 |       529045 |   67.37 kcal/mol |   62.79 +/-    1.45 kcal/mol |      11 |   59.91 kcal/mol
         90 |       563195 |   64.77 kcal/mol |   61.18 +/-    0.67 kcal/mol |       5 |   59.91 kcal/mol
         95 |       597249 |   63.20 kcal/mol |   61.21 +/-    0.75 kcal/mol |       4 |   59.91 kcal/mol
        100 |       629342 |   64.04 kcal/mol |   61.04 +/-    0.97 kcal/mol |       5 |   59.91 kcal/mol
